figure_id,italian,chinese,category,image,source_name,source_url,license_note,copyright_status,review_status,note
s27,attenzione agli animali selvatici,注意野生动物,交通标志与图形 - 危险标志,https://www.rmastri.it/42/immagini/s27.gif,rmastri.it,https://www.rmastri.it/42/immagini/s27.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s27；来源：WEBpatente definiz.js
s28,doppio senso di circolazione,双向通行,交通标志与图形 - 危险标志,https://www.rmastri.it/42/immagini/s28.gif,rmastri.it,https://www.rmastri.it/42/immagini/s28.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s28；来源：WEBpatente definiz.js
s29,preavviso di circolazione rotatoria,前方环岛预告,交通标志与图形 - 危险标志,https://www.rmastri.it/42/immagini/s29.gif,rmastri.it,https://www.rmastri.it/42/immagini/s29.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s29；来源：WEBpatente definiz.js
s30,sbocco su molo o su argine,道路通向码头或堤岸,交通标志与图形 - 危险标志,https://www.rmastri.it/42/immagini/s30.gif,rmastri.it,https://www.rmastri.it/42/immagini/s30.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s30；来源：WEBpatente definiz.js
s31,materiale instabile sulla strada,路面有不稳定物料,交通标志与图形 - 危险标志,https://www.rmastri.it/42/immagini/s31.gif,rmastri.it,https://www.rmastri.it/42/immagini/s31.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s31；来源：WEBpatente definiz.js
s32,caduta massi da sinistra,左侧落石,交通标志与图形 - 危险标志,https://www.rmastri.it/42/immagini/s32.gif,rmastri.it,https://www.rmastri.it/42/immagini/s32.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s32；来源：WEBpatente definiz.js
s33,caduta massi da destra,右侧落石,交通标志与图形 - 危险标志,https://www.rmastri.it/42/immagini/s33.gif,rmastri.it,https://www.rmastri.it/42/immagini/s33.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s33；来源：WEBpatente definiz.js
s34,preavviso di semaforo verticale,前方竖向交通灯预告,交通标志与图形 - 危险标志,https://www.rmastri.it/42/immagini/s34.gif,rmastri.it,https://www.rmastri.it/42/immagini/s34.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s34；来源：WEBpatente definiz.js
s35,preavviso di semaforo orizzontale,前方横向交通灯预告,交通标志与图形 - 危险标志,https://www.rmastri.it/42/immagini/s35.gif,rmastri.it,https://www.rmastri.it/42/immagini/s35.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s35；来源：WEBpatente definiz.js
s36,aeromobili a bassa quota,低空飞行器,交通标志与图形 - 危险标志,https://www.rmastri.it/42/immagini/s36.gif,rmastri.it,https://www.rmastri.it/42/immagini/s36.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s36；来源：WEBpatente definiz.js
s37,forte vento laterale,强侧风,交通标志与图形 - 危险标志,https://www.rmastri.it/42/immagini/s37.gif,rmastri.it,https://www.rmastri.it/42/immagini/s37.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s37；来源：WEBpatente definiz.js
s38,pericolo di incendio,火灾危险,交通标志与图形 - 危险标志,https://www.rmastri.it/42/immagini/s38.gif,rmastri.it,https://www.rmastri.it/42/immagini/s38.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s38；来源：WEBpatente definiz.js
s39,altri pericoli,其他危险,交通标志与图形 - 危险标志,https://www.rmastri.it/42/immagini/s39.gif,rmastri.it,https://www.rmastri.it/42/immagini/s39.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s39；来源：WEBpatente definiz.js
s40,dare precedenza,让行,交通标志与图形 - 优先权标志,https://www.rmastri.it/42/immagini/s40.gif,rmastri.it,https://www.rmastri.it/42/immagini/s40.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s40；来源：WEBpatente definiz.js
s41,fermarsi e dare precedenza (stop),停车并让行。,交通标志与图形 - 优先权标志,https://www.rmastri.it/42/immagini/s41.gif,rmastri.it,https://www.rmastri.it/42/immagini/s41.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s41；来源：WEBpatente definiz.js
s42,preavviso di dare precedenza,让行预告,交通标志与图形 - 优先权标志,https://www.rmastri.it/42/immagini/s42.gif,rmastri.it,https://www.rmastri.it/42/immagini/s42.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s42；来源：WEBpatente definiz.js
s43,preavviso di fermarsi e dare precedenza (stop),停车让行预告。,交通标志与图形 - 优先权标志,https://www.rmastri.it/42/immagini/s43.gif,rmastri.it,https://www.rmastri.it/42/immagini/s43.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s43；来源：WEBpatente definiz.js
s44,intersezione con precedenza a destra,路口右侧来车优先,交通标志与图形 - 优先权标志,https://www.rmastri.it/42/immagini/s44.gif,rmastri.it,https://www.rmastri.it/42/immagini/s44.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s44；来源：WEBpatente definiz.js
s45,dare precedenza nei sensi unici alternati,交替单行路段让对向车先行,交通标志与图形 - 优先权标志,https://www.rmastri.it/42/immagini/s45.gif,rmastri.it,https://www.rmastri.it/42/immagini/s45.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s45；来源：WEBpatente definiz.js
s46,fine del diritto di precedenza,优先通行权结束,交通标志与图形 - 优先权标志,https://www.rmastri.it/42/immagini/s46.gif,rmastri.it,https://www.rmastri.it/42/immagini/s46.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s46；来源：WEBpatente definiz.js
s47,intersezione con diritto di precedenza,有优先权的交叉路口,交通标志与图形 - 优先权标志,https://www.rmastri.it/42/immagini/s47.gif,rmastri.it,https://www.rmastri.it/42/immagini/s47.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s47；来源：WEBpatente definiz.js
s48,intersezione a “t” con diritto di precedenza a destra,T 字路口，右侧来车享有优先通行权,交通标志与图形 - 优先权标志,https://www.rmastri.it/42/immagini/s48.gif,rmastri.it,https://www.rmastri.it/42/immagini/s48.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s48；来源：WEBpatente definiz.js
s49,intersezione a “t” con diritto di precedenza a sinistra,T 字路口，左侧来车享有优先通行权,交通标志与图形 - 优先权标志,https://www.rmastri.it/42/immagini/s49.gif,rmastri.it,https://www.rmastri.it/42/immagini/s49.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s49；来源：WEBpatente definiz.js
s50,confluenza a destra,右侧汇入,交通标志与图形 - 优先权标志,https://www.rmastri.it/42/immagini/s50.gif,rmastri.it,https://www.rmastri.it/42/immagini/s50.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s50；来源：WEBpatente definiz.js
s51,confluenza a sinistra,左侧汇入,交通标志与图形 - 优先权标志,https://www.rmastri.it/42/immagini/s51.gif,rmastri.it,https://www.rmastri.it/42/immagini/s51.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s51；来源：WEBpatente definiz.js
s52,diritto di precedenza,优先通行权,交通标志与图形 - 优先权标志,https://www.rmastri.it/42/immagini/s52.gif,rmastri.it,https://www.rmastri.it/42/immagini/s52.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s52；来源：WEBpatente definiz.js
s53,diritto di precedenza nei sensi unici alternati,交替单行路段优先通行权,交通标志与图形 - 优先权标志,https://www.rmastri.it/42/immagini/s53.gif,rmastri.it,https://www.rmastri.it/42/immagini/s53.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s53；来源：WEBpatente definiz.js
s54,divieto di transito da ambo i lati,双向禁止通行,交通标志与图形 - 禁止标志,https://www.rmastri.it/42/immagini/s54.gif,rmastri.it,https://www.rmastri.it/42/immagini/s54.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s54；来源：WEBpatente definiz.js
s55,senso vietato,禁止驶入,交通标志与图形 - 禁止标志,https://www.rmastri.it/42/immagini/s55.gif,rmastri.it,https://www.rmastri.it/42/immagini/s55.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s55；来源：WEBpatente definiz.js
s56,divieto di sorpasso: si possono sorpassare solo i veicoli senza motore e quelli a motore con due ruote,禁止超车：只允许超越无发动机车辆和两轮机动车,交通标志与图形 - 禁止标志,https://www.rmastri.it/42/immagini/s56.gif,rmastri.it,https://www.rmastri.it/42/immagini/s56.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s56；来源：WEBpatente definiz.js
s57,distanziamento minimo obbligatorio di 70 metri dal veicolo che precede,强制最小车距70米。,交通标志与图形 - 禁止标志,https://www.rmastri.it/42/immagini/s57.gif,rmastri.it,https://www.rmastri.it/42/immagini/s57.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s57；来源：WEBpatente definiz.js
s58,limite massimo di velocità di 80 km/h,最高限速 80 km/h。,交通标志与图形 - 禁止标志,https://www.rmastri.it/42/immagini/s58.gif,rmastri.it,https://www.rmastri.it/42/immagini/s58.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s58；来源：WEBpatente definiz.js
s59,divieto di segnalazioni acustiche,禁止鸣笛,交通标志与图形 - 禁止标志,https://www.rmastri.it/42/immagini/s59.gif,rmastri.it,https://www.rmastri.it/42/immagini/s59.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s59；来源：WEBpatente definiz.js
s60,"divieto di sorpasso per veicoli destinati al trasporto di merci (autocarri, autotreni) che superano 3,5 t.",禁止超过3.5吨的货运车辆超车。,交通标志与图形 - 禁止标志,https://www.rmastri.it/42/immagini/s60.gif,rmastri.it,https://www.rmastri.it/42/immagini/s60.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s60；来源：WEBpatente definiz.js
s61,divieto di transito ai veicoli a trazione animale,禁止畜力车辆通行。,交通标志与图形 - 禁止标志,https://www.rmastri.it/42/immagini/s61.gif,rmastri.it,https://www.rmastri.it/42/immagini/s61.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s61；来源：WEBpatente definiz.js
s62,divieto di transito ai pedoni,禁止行人通行,交通标志与图形 - 禁止标志,https://www.rmastri.it/42/immagini/s62.gif,rmastri.it,https://www.rmastri.it/42/immagini/s62.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s62；来源：WEBpatente definiz.js
s63,divieto di transito ai velocipedi (biciclette),禁止自行车通行。,交通标志与图形 - 禁止标志,https://www.rmastri.it/42/immagini/s63.gif,rmastri.it,https://www.rmastri.it/42/immagini/s63.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s63；来源：WEBpatente definiz.js
s64,divieto di transito ai motocicli,禁止摩托车通行,交通标志与图形 - 禁止标志,https://www.rmastri.it/42/immagini/s64.gif,rmastri.it,https://www.rmastri.it/42/immagini/s64.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s64；来源：WEBpatente definiz.js
s65,divieto di transito ai veicoli a braccia,禁止人力车辆通行,交通标志与图形 - 禁止标志,https://www.rmastri.it/42/immagini/s65.gif,rmastri.it,https://www.rmastri.it/42/immagini/s65.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s65；来源：WEBpatente definiz.js
s66,divieto di transito a tutti gli autoveicoli e ai motoveicoli con tre o più ruote,禁止所有汽车和三轮及以上机动车通行。,交通标志与图形 - 禁止标志,https://www.rmastri.it/42/immagini/s66.gif,rmastri.it,https://www.rmastri.it/42/immagini/s66.gif,external image link; needs manual verification before commercial use,unverified_external_link,needs_review,图形编号 s66；来源：WEBpatente definiz.js；需人工校对；review_flags: manual_check
s67,divieto di transito agli autobus,禁止公交车通行。,交通标志与图形 - 禁止标志,https://www.rmastri.it/42/immagini/s67.gif,rmastri.it,https://www.rmastri.it/42/immagini/s67.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s67；来源：WEBpatente definiz.js
s68,"divieto di transito ai veicoli destinati al trasporto di merci (autocarri, autotreni) che superano 3,5 t.",禁止超过3.5吨的货运车辆通行。,交通标志与图形 - 禁止标志,https://www.rmastri.it/42/immagini/s68.gif,rmastri.it,https://www.rmastri.it/42/immagini/s68.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s68；来源：WEBpatente definiz.js
s69,"divieto di transito ai veicoli destinati al trasporto di merci (autocarri, autotreni) che superano 6,5 t.",禁止超过6.5吨的货运车辆通行。,交通标志与图形 - 禁止标志,https://www.rmastri.it/42/immagini/s69.gif,rmastri.it,https://www.rmastri.it/42/immagini/s69.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s69；来源：WEBpatente definiz.js
s70,divieto di transito ai veicoli a motore trainanti un rimorchio,禁止牵引挂车的机动车通行。,交通标志与图形 - 禁止标志,https://www.rmastri.it/42/immagini/s70.gif,rmastri.it,https://www.rmastri.it/42/immagini/s70.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s70；来源：WEBpatente definiz.js
s71,divieto di transito alle macchine agricole,禁止农业机械通行。,交通标志与图形 - 禁止标志,https://www.rmastri.it/42/immagini/s71.gif,rmastri.it,https://www.rmastri.it/42/immagini/s71.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s71；来源：WEBpatente definiz.js
s72,divieto di transito ai veicoli che trasportano merci pericolose,禁止运输危险货物的车辆通行。,交通标志与图形 - 禁止标志,https://www.rmastri.it/42/immagini/s72.gif,rmastri.it,https://www.rmastri.it/42/immagini/s72.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s72；来源：WEBpatente definiz.js
s73,divieto di transito ai veicoli che trasportano esplosivi o prodotti facilmente infiammabili,禁止运输爆炸物或易燃物品的车辆通行。,交通标志与图形 - 禁止标志,https://www.rmastri.it/42/immagini/s73.gif,rmastri.it,https://www.rmastri.it/42/immagini/s73.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s73；来源：WEBpatente definiz.js
s74,divieto di transito ai veicoli che trasportano prodotti suscettibili di contaminare l’acqua,禁止运输可能污染水源物品的车辆通行。,交通标志与图形 - 禁止标志,https://www.rmastri.it/42/immagini/s74.gif,rmastri.it,https://www.rmastri.it/42/immagini/s74.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s74；来源：WEBpatente definiz.js
s75,"divieto di transito a tutti i veicoli aventi larghezza superiore a 2,30 metri",禁止宽度超过2.30米的车辆通行。,交通标志与图形 - 禁止标志,https://www.rmastri.it/42/immagini/s75.gif,rmastri.it,https://www.rmastri.it/42/immagini/s75.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s75；来源：WEBpatente definiz.js
s76,"divieto di transito a tutti i veicoli aventi altezza superiore a 3,50 metri",禁止高度超过3.50米的车辆通行。,交通标志与图形 - 禁止标志,https://www.rmastri.it/42/immagini/s76.gif,rmastri.it,https://www.rmastri.it/42/immagini/s76.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s76；来源：WEBpatente definiz.js
s77,"divieto di transito a tutti i veicoli, o complessi di veicoli, aventi lunghezza superiore a 10 metri",禁止长度超过10米的车辆或车辆组合通行。,交通标志与图形 - 禁止标志,https://www.rmastri.it/42/immagini/s77.gif,rmastri.it,https://www.rmastri.it/42/immagini/s77.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s77；来源：WEBpatente definiz.js
s78,divieto di transito a tutti i veicoli aventi una massa complessiva superiore a 7 t.,禁止总质量超过7吨的车辆通行。,交通标志与图形 - 禁止标志,https://www.rmastri.it/42/immagini/s78.gif,rmastri.it,https://www.rmastri.it/42/immagini/s78.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s78；来源：WEBpatente definiz.js
s79,"divieto di transito a tutti i veicoli aventi massa per asse superiore a 2,5 t.",禁止轴重超过2.5吨的车辆通行。,交通标志与图形 - 禁止标志,https://www.rmastri.it/42/immagini/s79.gif,rmastri.it,https://www.rmastri.it/42/immagini/s79.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s79；来源：WEBpatente definiz.js
s80,via libera o fine di tutte le prescrizioni,通行恢复 / 所有限制结束,交通标志与图形 - 禁止标志,https://www.rmastri.it/42/immagini/s80.gif,rmastri.it,https://www.rmastri.it/42/immagini/s80.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s80；来源：WEBpatente definiz.js
s81,fine del limite massimo di velocità di 50 km/h,最高限速 50 km/h 结束。,交通标志与图形 - 禁止标志,https://www.rmastri.it/42/immagini/s81.gif,rmastri.it,https://www.rmastri.it/42/immagini/s81.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s81；来源：WEBpatente definiz.js
s82,fine del divieto di sorpasso,禁止超车限制结束,交通标志与图形 - 禁止标志,https://www.rmastri.it/42/immagini/s82.gif,rmastri.it,https://www.rmastri.it/42/immagini/s82.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s82；来源：WEBpatente definiz.js
s83,"fine del divieto di sorpasso per veicoli adibiti al trasporto di merci che superano 3,5 t.",解除超过3.5吨货运车辆禁止超车限制。,交通标志与图形 - 禁止标志,https://www.rmastri.it/42/immagini/s83.gif,rmastri.it,https://www.rmastri.it/42/immagini/s83.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s83；来源：WEBpatente definiz.js
s84,divieto di sosta,禁止停车,交通标志与图形 - 禁止标志,https://www.rmastri.it/42/immagini/s84.gif,rmastri.it,https://www.rmastri.it/42/immagini/s84.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s84；来源：WEBpatente definiz.js
s85,divieto di fermata,禁止临时停车,交通标志与图形 - 禁止标志,https://www.rmastri.it/42/immagini/s85.gif,rmastri.it,https://www.rmastri.it/42/immagini/s85.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s85；来源：WEBpatente definiz.js
s86,parcheggio,停车场,交通标志与图形 - 禁止标志,https://www.rmastri.it/42/immagini/s86.gif,rmastri.it,https://www.rmastri.it/42/immagini/s86.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s86；来源：WEBpatente definiz.js
s89,preavviso di parcheggio,停车场预告,交通标志与图形 - 禁止标志,https://www.rmastri.it/42/immagini/s89.gif,rmastri.it,https://www.rmastri.it/42/immagini/s89.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s89；来源：WEBpatente definiz.js
s90,passo carrabile,车辆出入口,交通标志与图形 - 禁止标志,https://www.rmastri.it/42/immagini/s90.gif,rmastri.it,https://www.rmastri.it/42/immagini/s90.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s90；来源：WEBpatente definiz.js
s91,sosta consentita a particolari categorie,允许特定类别车辆停车。,交通标志与图形 - 禁止标志,https://www.rmastri.it/42/immagini/s91.gif,rmastri.it,https://www.rmastri.it/42/immagini/s91.gif,external image link; needs manual verification before commercial use,unverified_external_link,needs_review,图形编号 s91；来源：WEBpatente definiz.js；需人工校对；review_flags: manual_check
s92,regolazione flessibile della sosta in centro abitato,居民区内弹性停车规定。,交通标志与图形 - 禁止标志,https://www.rmastri.it/42/immagini/s92.gif,rmastri.it,https://www.rmastri.it/42/immagini/s92.gif,external image link; needs manual verification before commercial use,unverified_external_link,needs_review,图形编号 s92；来源：WEBpatente definiz.js；需人工校对；review_flags: manual_check
s93,direzione obbligatoria diritto,必须直行,交通标志与图形 - 强制标志,https://www.rmastri.it/42/immagini/s93.gif,rmastri.it,https://www.rmastri.it/42/immagini/s93.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s93；来源：WEBpatente definiz.js
